"ResponseId","scenario_abb","MP_R1","MP_R2","MP_R3","MP_R4","M_1","StartDate","EndDate","Status","IPAddress","Progress","Duration (in seconds)","Finished","RecordedDate","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","consentQ","PID","age","gender","gender_4_TEXT","S_M_R_1","S_M_R_2","S_M_R_3","S_M_R_4","S_M_M_1","J_ND1_R_1","J_ND1_R_2","J_ND1_R_3","J_ND1_R_4","J_ND1_M_1","C_ND2_R_1","C_ND2_R_2","C_ND2_R_3","C_ND2_R_4","C_ND2_M_1","F_M_R_1","F_M_R_2","F_M_R_3","F_M_R_4","F_M_M_1","A_M_R_1","A_M_R_2","A_M_R_3","A_M_R_4","A_M_M_1","R_M_R_1","R_M_R_2","R_M_R_3","R_M_R_4","R_M_M_1","attn_chk_1Q","attn_chk_2_Q","condition"
"R_2b1abPYePcvkl2p","Alex",5,5,5,5,57,2022-03-13 10:25:46,2022-03-13 10:27:27,"IP Address","71.59.101.142",100,100,TRUE,2022-03-13 10:27:28,NA,NA,NA,NA,40.0054931640625,-74.9979019165039,"anonymous","EN","Yes","AKMIORNF40ST7",46,"Male",NA,6,6,6,6,55,5,5,5,5,55,5,5,5,5,55,5,5,5,5,54,5,5,5,5,57,5,5,5,5,55,"None of the above","Basketball","Diagnostic"
"R_2b1abPYePcvkl2p","Robin",5,5,5,5,55,2022-03-13 10:25:46,2022-03-13 10:27:27,"IP Address","71.59.101.142",100,100,TRUE,2022-03-13 10:27:28,NA,NA,NA,NA,40.0054931640625,-74.9979019165039,"anonymous","EN","Yes","AKMIORNF40ST7",46,"Male",NA,6,6,6,6,55,5,5,5,5,55,5,5,5,5,55,5,5,5,5,54,5,5,5,5,57,5,5,5,5,55,"None of the above","Basketball","Diagnostic"
"R_bx6eG6CWzzm9laV","Sam",4,4,4,4,50,2022-03-13 10:25:51,2022-03-13 10:27:49,"IP Address","67.189.129.240",100,117,TRUE,2022-03-13 10:27:49,NA,NA,NA,NA,41.4098052978516,-73.5899963378906,"anonymous","EN","Yes","AGDJB8B8CDZ71",35,"Male",NA,4,4,4,4,50,4,4,4,4,50,4,4,4,4,50,4,4,4,4,50,4,4,4,4,50,4,4,4,4,50,"None of the above","Soccer","Diagnostic"
"R_bx6eG6CWzzm9laV","Jackie",4,4,4,4,50,2022-03-13 10:25:51,2022-03-13 10:27:49,"IP Address","67.189.129.240",100,117,TRUE,2022-03-13 10:27:49,NA,NA,NA,NA,41.4098052978516,-73.5899963378906,"anonymous","EN","Yes","AGDJB8B8CDZ71",35,"Male",NA,4,4,4,4,50,4,4,4,4,50,4,4,4,4,50,4,4,4,4,50,4,4,4,4,50,4,4,4,4,50,"None of the above","Soccer","Non-Diagnostic"
"R_bx6eG6CWzzm9laV","Charlie",4,4,4,4,50,2022-03-13 10:25:51,2022-03-13 10:27:49,"IP Address","67.189.129.240",100,117,TRUE,2022-03-13 10:27:49,NA,NA,NA,NA,41.4098052978516,-73.5899963378906,"anonymous","EN","Yes","AGDJB8B8CDZ71",35,"Male",NA,4,4,4,4,50,4,4,4,4,50,4,4,4,4,50,4,4,4,4,50,4,4,4,4,50,4,4,4,4,50,"None of the above","Soccer","Non-Diagnostic"
"R_bx6eG6CWzzm9laV","Francis",4,4,4,4,50,2022-03-13 10:25:51,2022-03-13 10:27:49,"IP Address","67.189.129.240",100,117,TRUE,2022-03-13 10:27:49,NA,NA,NA,NA,41.4098052978516,-73.5899963378906,"anonymous","EN","Yes","AGDJB8B8CDZ71",35,"Male",NA,4,4,4,4,50,4,4,4,4,50,4,4,4,4,50,4,4,4,4,50,4,4,4,4,50,4,4,4,4,50,"None of the above","Soccer","Diagnostic"
"R_bx6eG6CWzzm9laV","Alex",4,4,4,4,50,2022-03-13 10:25:51,2022-03-13 10:27:49,"IP Address","67.189.129.240",100,117,TRUE,2022-03-13 10:27:49,NA,NA,NA,NA,41.4098052978516,-73.5899963378906,"anonymous","EN","Yes","AGDJB8B8CDZ71",35,"Male",NA,4,4,4,4,50,4,4,4,4,50,4,4,4,4,50,4,4,4,4,50,4,4,4,4,50,4,4,4,4,50,"None of the above","Soccer","Diagnostic"
"R_bx6eG6CWzzm9laV","Robin",4,4,4,4,50,2022-03-13 10:25:51,2022-03-13 10:27:49,"IP Address","67.189.129.240",100,117,TRUE,2022-03-13 10:27:49,NA,NA,NA,NA,41.4098052978516,-73.5899963378906,"anonymous","EN","Yes","AGDJB8B8CDZ71",35,"Male",NA,4,4,4,4,50,4,4,4,4,50,4,4,4,4,50,4,4,4,4,50,4,4,4,4,50,4,4,4,4,50,"None of the above","Soccer","Diagnostic"
"R_1gvhSQrAumF51x5","Sam",5,5,5,5,60,2022-03-13 10:26:01,2022-03-13 10:27:58,"IP Address","98.52.126.65",100,116,TRUE,2022-03-13 10:28:00,NA,NA,NA,NA,42.1844940185547,-88.3265991210937,"anonymous","EN","Yes","A204Q4T20BP8V",41,"Male",NA,5,5,5,5,60,4,4,4,4,50,4,4,4,4,50,5,5,5,5,60,5,5,5,5,60,5,5,5,5,60,"None of the above","Soccer","Diagnostic"
"R_1gvhSQrAumF51x5","Jackie",4,4,4,4,50,2022-03-13 10:26:01,2022-03-13 10:27:58,"IP Address","98.52.126.65",100,116,TRUE,2022-03-13 10:28:00,NA,NA,NA,NA,42.1844940185547,-88.3265991210937,"anonymous","EN","Yes","A204Q4T20BP8V",41,"Male",NA,5,5,5,5,60,4,4,4,4,50,4,4,4,4,50,5,5,5,5,60,5,5,5,5,60,5,5,5,5,60,"None of the above","Soccer","Non-Diagnostic"
"R_1gvhSQrAumF51x5","Charlie",4,4,4,4,50,2022-03-13 10:26:01,2022-03-13 10:27:58,"IP Address","98.52.126.65",100,116,TRUE,2022-03-13 10:28:00,NA,NA,NA,NA,42.1844940185547,-88.3265991210937,"anonymous","EN","Yes","A204Q4T20BP8V",41,"Male",NA,5,5,5,5,60,4,4,4,4,50,4,4,4,4,50,5,5,5,5,60,5,5,5,5,60,5,5,5,5,60,"None of the above","Soccer","Non-Diagnostic"
"R_1gvhSQrAumF51x5","Francis",5,5,5,5,60,2022-03-13 10:26:01,2022-03-13 10:27:58,"IP Address","98.52.126.65",100,116,TRUE,2022-03-13 10:28:00,NA,NA,NA,NA,42.1844940185547,-88.3265991210937,"anonymous","EN","Yes","A204Q4T20BP8V",41,"Male",NA,5,5,5,5,60,4,4,4,4,50,4,4,4,4,50,5,5,5,5,60,5,5,5,5,60,5,5,5,5,60,"None of the above","Soccer","Diagnostic"
"R_1gvhSQrAumF51x5","Alex",5,5,5,5,60,2022-03-13 10:26:01,2022-03-13 10:27:58,"IP Address","98.52.126.65",100,116,TRUE,2022-03-13 10:28:00,NA,NA,NA,NA,42.1844940185547,-88.3265991210937,"anonymous","EN","Yes","A204Q4T20BP8V",41,"Male",NA,5,5,5,5,60,4,4,4,4,50,4,4,4,4,50,5,5,5,5,60,5,5,5,5,60,5,5,5,5,60,"None of the above","Soccer","Diagnostic"
"R_1gvhSQrAumF51x5","Robin",5,5,5,5,60,2022-03-13 10:26:01,2022-03-13 10:27:58,"IP Address","98.52.126.65",100,116,TRUE,2022-03-13 10:28:00,NA,NA,NA,NA,42.1844940185547,-88.3265991210937,"anonymous","EN","Yes","A204Q4T20BP8V",41,"Male",NA,5,5,5,5,60,4,4,4,4,50,4,4,4,4,50,5,5,5,5,60,5,5,5,5,60,5,5,5,5,60,"None of the above","Soccer","Diagnostic"
"R_1ILCZmS9316UTRE","Sam",7,7,7,7,100,2022-03-13 10:26:01,2022-03-13 10:28:05,"IP Address","23.84.70.4",100,124,TRUE,2022-03-13 10:28:07,NA,NA,NA,NA,38.6744995117187,-90.2425994873047,"anonymous","EN","Yes","A173A97OFDAX9F",25,"Female",NA,7,7,7,7,100,6,6,6,6,90,5,5,6,5,79,7,7,7,7,100,7,7,7,7,100,7,7,7,7,100,"None of the above","Soccer","Diagnostic"
"R_1ILCZmS9316UTRE","Jackie",6,6,6,6,90,2022-03-13 10:26:01,2022-03-13 10:28:05,"IP Address","23.84.70.4",100,124,TRUE,2022-03-13 10:28:07,NA,NA,NA,NA,38.6744995117187,-90.2425994873047,"anonymous","EN","Yes","A173A97OFDAX9F",25,"Female",NA,7,7,7,7,100,6,6,6,6,90,5,5,6,5,79,7,7,7,7,100,7,7,7,7,100,7,7,7,7,100,"None of the above","Soccer","Non-Diagnostic"
"R_1ILCZmS9316UTRE","Charlie",5,5,6,5,79,2022-03-13 10:26:01,2022-03-13 10:28:05,"IP Address","23.84.70.4",100,124,TRUE,2022-03-13 10:28:07,NA,NA,NA,NA,38.6744995117187,-90.2425994873047,"anonymous","EN","Yes","A173A97OFDAX9F",25,"Female",NA,7,7,7,7,100,6,6,6,6,90,5,5,6,5,79,7,7,7,7,100,7,7,7,7,100,7,7,7,7,100,"None of the above","Soccer","Non-Diagnostic"
"R_1ILCZmS9316UTRE","Francis",7,7,7,7,100,2022-03-13 10:26:01,2022-03-13 10:28:05,"IP Address","23.84.70.4",100,124,TRUE,2022-03-13 10:28:07,NA,NA,NA,NA,38.6744995117187,-90.2425994873047,"anonymous","EN","Yes","A173A97OFDAX9F",25,"Female",NA,7,7,7,7,100,6,6,6,6,90,5,5,6,5,79,7,7,7,7,100,7,7,7,7,100,7,7,7,7,100,"None of the above","Soccer","Diagnostic"
"R_1ILCZmS9316UTRE","Alex",7,7,7,7,100,2022-03-13 10:26:01,2022-03-13 10:28:05,"IP Address","23.84.70.4",100,124,TRUE,2022-03-13 10:28:07,NA,NA,NA,NA,38.6744995117187,-90.2425994873047,"anonymous","EN","Yes","A173A97OFDAX9F",25,"Female",NA,7,7,7,7,100,6,6,6,6,90,5,5,6,5,79,7,7,7,7,100,7,7,7,7,100,7,7,7,7,100,"None of the above","Soccer","Diagnostic"
"R_1ILCZmS9316UTRE","Robin",7,7,7,7,100,2022-03-13 10:26:01,2022-03-13 10:28:05,"IP Address","23.84.70.4",100,124,TRUE,2022-03-13 10:28:07,NA,NA,NA,NA,38.6744995117187,-90.2425994873047,"anonymous","EN","Yes","A173A97OFDAX9F",25,"Female",NA,7,7,7,7,100,6,6,6,6,90,5,5,6,5,79,7,7,7,7,100,7,7,7,7,100,7,7,7,7,100,"None of the above","Soccer","Diagnostic"
"R_1C9jhxZcpRkhNxB","Sam",6,7,6,6,85,2022-03-13 10:25:53,2022-03-13 10:28:21,"IP Address","24.129.219.110",100,148,TRUE,2022-03-13 10:28:21,NA,NA,NA,NA,31.2942047119141,-86.4872970581055,"anonymous","EN","Yes","A1GRPIBHW72HDU",32,"Male",NA,6,7,6,6,85,5,4,5,4,55,5,4,5,4,55,6,7,7,6,90,7,6,7,7,90,7,6,7,7,90,"None of the above","Soccer","Diagnostic"
"R_1C9jhxZcpRkhNxB","Jackie",5,4,5,4,55,2022-03-13 10:25:53,2022-03-13 10:28:21,"IP Address","24.129.219.110",100,148,TRUE,2022-03-13 10:28:21,NA,NA,NA,NA,31.2942047119141,-86.4872970581055,"anonymous","EN","Yes","A1GRPIBHW72HDU",32,"Male",NA,6,7,6,6,85,5,4,5,4,55,5,4,5,4,55,6,7,7,6,90,7,6,7,7,90,7,6,7,7,90,"None of the above","Soccer","Non-Diagnostic"
"R_1C9jhxZcpRkhNxB","Charlie",5,4,5,4,55,2022-03-13 10:25:53,2022-03-13 10:28:21,"IP Address","24.129.219.110",100,148,TRUE,2022-03-13 10:28:21,NA,NA,NA,NA,31.2942047119141,-86.4872970581055,"anonymous","EN","Yes","A1GRPIBHW72HDU",32,"Male",NA,6,7,6,6,85,5,4,5,4,55,5,4,5,4,55,6,7,7,6,90,7,6,7,7,90,7,6,7,7,90,"None of the above","Soccer","Non-Diagnostic"
"R_1C9jhxZcpRkhNxB","Francis",6,7,7,6,90,2022-03-13 10:25:53,2022-03-13 10:28:21,"IP Address","24.129.219.110",100,148,TRUE,2022-03-13 10:28:21,NA,NA,NA,NA,31.2942047119141,-86.4872970581055,"anonymous","EN","Yes","A1GRPIBHW72HDU",32,"Male",NA,6,7,6,6,85,5,4,5,4,55,5,4,5,4,55,6,7,7,6,90,7,6,7,7,90,7,6,7,7,90,"None of the above","Soccer","Diagnostic"
"R_1C9jhxZcpRkhNxB","Alex",7,6,7,7,90,2022-03-13 10:25:53,2022-03-13 10:28:21,"IP Address","24.129.219.110",100,148,TRUE,2022-03-13 10:28:21,NA,NA,NA,NA,31.2942047119141,-86.4872970581055,"anonymous","EN","Yes","A1GRPIBHW72HDU",32,"Male",NA,6,7,6,6,85,5,4,5,4,55,5,4,5,4,55,6,7,7,6,90,7,6,7,7,90,7,6,7,7,90,"None of the above","Soccer","Diagnostic"
"R_1C9jhxZcpRkhNxB","Robin",7,6,7,7,90,2022-03-13 10:25:53,2022-03-13 10:28:21,"IP Address","24.129.219.110",100,148,TRUE,2022-03-13 10:28:21,NA,NA,NA,NA,31.2942047119141,-86.4872970581055,"anonymous","EN","Yes","A1GRPIBHW72HDU",32,"Male",NA,6,7,6,6,85,5,4,5,4,55,5,4,5,4,55,6,7,7,6,90,7,6,7,7,90,7,6,7,7,90,"None of the above","Soccer","Diagnostic"
"R_ALDPOFeW04SWPeN","Sam",6,6,6,6,81,2022-03-13 10:25:54,2022-03-13 10:28:45,"IP Address","73.64.17.81",100,170,TRUE,2022-03-13 10:28:45,NA,NA,NA,NA,40.3356018066406,-75.9789962768555,"anonymous","EN","Yes","A1SPIAJZORHFT0",35,"Male",NA,6,6,6,6,81,5,5,5,5,65,5,5,5,5,65,6,6,6,6,82,6,6,6,6,85,6,6,5,6,84,"None of the above","Soccer","Diagnostic"
"R_ALDPOFeW04SWPeN","Jackie",5,5,5,5,65,2022-03-13 10:25:54,2022-03-13 10:28:45,"IP Address","73.64.17.81",100,170,TRUE,2022-03-13 10:28:45,NA,NA,NA,NA,40.3356018066406,-75.9789962768555,"anonymous","EN","Yes","A1SPIAJZORHFT0",35,"Male",NA,6,6,6,6,81,5,5,5,5,65,5,5,5,5,65,6,6,6,6,82,6,6,6,6,85,6,6,5,6,84,"None of the above","Soccer","Non-Diagnostic"
"R_ALDPOFeW04SWPeN","Charlie",5,5,5,5,65,2022-03-13 10:25:54,2022-03-13 10:28:45,"IP Address","73.64.17.81",100,170,TRUE,2022-03-13 10:28:45,NA,NA,NA,NA,40.3356018066406,-75.9789962768555,"anonymous","EN","Yes","A1SPIAJZORHFT0",35,"Male",NA,6,6,6,6,81,5,5,5,5,65,5,5,5,5,65,6,6,6,6,82,6,6,6,6,85,6,6,5,6,84,"None of the above","Soccer","Non-Diagnostic"
"R_ALDPOFeW04SWPeN","Francis",6,6,6,6,82,2022-03-13 10:25:54,2022-03-13 10:28:45,"IP Address","73.64.17.81",100,170,TRUE,2022-03-13 10:28:45,NA,NA,NA,NA,40.3356018066406,-75.9789962768555,"anonymous","EN","Yes","A1SPIAJZORHFT0",35,"Male",NA,6,6,6,6,81,5,5,5,5,65,5,5,5,5,65,6,6,6,6,82,6,6,6,6,85,6,6,5,6,84,"None of the above","Soccer","Diagnostic"
"R_ALDPOFeW04SWPeN","Alex",6,6,6,6,85,2022-03-13 10:25:54,2022-03-13 10:28:45,"IP Address","73.64.17.81",100,170,TRUE,2022-03-13 10:28:45,NA,NA,NA,NA,40.3356018066406,-75.9789962768555,"anonymous","EN","Yes","A1SPIAJZORHFT0",35,"Male",NA,6,6,6,6,81,5,5,5,5,65,5,5,5,5,65,6,6,6,6,82,6,6,6,6,85,6,6,5,6,84,"None of the above","Soccer","Diagnostic"
"R_ALDPOFeW04SWPeN","Robin",6,6,5,6,84,2022-03-13 10:25:54,2022-03-13 10:28:45,"IP Address","73.64.17.81",100,170,TRUE,2022-03-13 10:28:45,NA,NA,NA,NA,40.3356018066406,-75.9789962768555,"anonymous","EN","Yes","A1SPIAJZORHFT0",35,"Male",NA,6,6,6,6,81,5,5,5,5,65,5,5,5,5,65,6,6,6,6,82,6,6,6,6,85,6,6,5,6,84,"None of the above","Soccer","Diagnostic"
"R_ptPJ6bpBUM8sDE5","Sam",6,6,6,6,80,2022-03-13 10:25:59,2022-03-13 10:29:03,"IP Address","24.1.39.189",100,184,TRUE,2022-03-13 10:29:03,NA,NA,NA,NA,41.9409027099609,-87.6531982421875,"anonymous","EN","Yes","A3GWRDHAURRNK6",49,"Male",NA,6,6,6,6,80,4,4,4,4,50,4,4,4,4,50,6,6,6,6,80,6,6,6,6,80,6,6,6,6,80,"None of the above","Soccer","Diagnostic"
"R_ptPJ6bpBUM8sDE5","Jackie",4,4,4,4,50,2022-03-13 10:25:59,2022-03-13 10:29:03,"IP Address","24.1.39.189",100,184,TRUE,2022-03-13 10:29:03,NA,NA,NA,NA,41.9409027099609,-87.6531982421875,"anonymous","EN","Yes","A3GWRDHAURRNK6",49,"Male",NA,6,6,6,6,80,4,4,4,4,50,4,4,4,4,50,6,6,6,6,80,6,6,6,6,80,6,6,6,6,80,"None of the above","Soccer","Non-Diagnostic"
"R_ptPJ6bpBUM8sDE5","Charlie",4,4,4,4,50,2022-03-13 10:25:59,2022-03-13 10:29:03,"IP Address","24.1.39.189",100,184,TRUE,2022-03-13 10:29:03,NA,NA,NA,NA,41.9409027099609,-87.6531982421875,"anonymous","EN","Yes","A3GWRDHAURRNK6",49,"Male",NA,6,6,6,6,80,4,4,4,4,50,4,4,4,4,50,6,6,6,6,80,6,6,6,6,80,6,6,6,6,80,"None of the above","Soccer","Non-Diagnostic"
"R_ptPJ6bpBUM8sDE5","Francis",6,6,6,6,80,2022-03-13 10:25:59,2022-03-13 10:29:03,"IP Address","24.1.39.189",100,184,TRUE,2022-03-13 10:29:03,NA,NA,NA,NA,41.9409027099609,-87.6531982421875,"anonymous","EN","Yes","A3GWRDHAURRNK6",49,"Male",NA,6,6,6,6,80,4,4,4,4,50,4,4,4,4,50,6,6,6,6,80,6,6,6,6,80,6,6,6,6,80,"None of the above","Soccer","Diagnostic"
"R_ptPJ6bpBUM8sDE5","Alex",6,6,6,6,80,2022-03-13 10:25:59,2022-03-13 10:29:03,"IP Address","24.1.39.189",100,184,TRUE,2022-03-13 10:29:03,NA,NA,NA,NA,41.9409027099609,-87.6531982421875,"anonymous","EN","Yes","A3GWRDHAURRNK6",49,"Male",NA,6,6,6,6,80,4,4,4,4,50,4,4,4,4,50,6,6,6,6,80,6,6,6,6,80,6,6,6,6,80,"None of the above","Soccer","Diagnostic"
"R_ptPJ6bpBUM8sDE5","Robin",6,6,6,6,80,2022-03-13 10:25:59,2022-03-13 10:29:03,"IP Address","24.1.39.189",100,184,TRUE,2022-03-13 10:29:03,NA,NA,NA,NA,41.9409027099609,-87.6531982421875,"anonymous","EN","Yes","A3GWRDHAURRNK6",49,"Male",NA,6,6,6,6,80,4,4,4,4,50,4,4,4,4,50,6,6,6,6,80,6,6,6,6,80,6,6,6,6,80,"None of the above","Soccer","Diagnostic"
"R_3ivXU44CyvvTTzq","Sam",6,6,5,5,73,2022-03-13 10:27:20,2022-03-13 10:29:07,"IP Address","73.54.16.182",100,106,TRUE,2022-03-13 10:29:07,NA,NA,NA,NA,26.5337066650391,-81.7061996459961,"anonymous","EN","Yes","A03846191RWU57N8DCK72",32,"Male",NA,6,6,5,5,73,5,4,5,5,80,5,4,6,7,78,6,5,6,5,77,5,6,7,6,80,5,6,5,5,96,"None of the above","Soccer","Diagnostic"
"R_3ivXU44CyvvTTzq","Jackie",5,4,5,5,80,2022-03-13 10:27:20,2022-03-13 10:29:07,"IP Address","73.54.16.182",100,106,TRUE,2022-03-13 10:29:07,NA,NA,NA,NA,26.5337066650391,-81.7061996459961,"anonymous","EN","Yes","A03846191RWU57N8DCK72",32,"Male",NA,6,6,5,5,73,5,4,5,5,80,5,4,6,7,78,6,5,6,5,77,5,6,7,6,80,5,6,5,5,96,"None of the above","Soccer","Non-Diagnostic"
"R_3ivXU44CyvvTTzq","Charlie",5,4,6,7,78,2022-03-13 10:27:20,2022-03-13 10:29:07,"IP Address","73.54.16.182",100,106,TRUE,2022-03-13 10:29:07,NA,NA,NA,NA,26.5337066650391,-81.7061996459961,"anonymous","EN","Yes","A03846191RWU57N8DCK72",32,"Male",NA,6,6,5,5,73,5,4,5,5,80,5,4,6,7,78,6,5,6,5,77,5,6,7,6,80,5,6,5,5,96,"None of the above","Soccer","Non-Diagnostic"
"R_3ivXU44CyvvTTzq","Francis",6,5,6,5,77,2022-03-13 10:27:20,2022-03-13 10:29:07,"IP Address","73.54.16.182",100,106,TRUE,2022-03-13 10:29:07,NA,NA,NA,NA,26.5337066650391,-81.7061996459961,"anonymous","EN","Yes","A03846191RWU57N8DCK72",32,"Male",NA,6,6,5,5,73,5,4,5,5,80,5,4,6,7,78,6,5,6,5,77,5,6,7,6,80,5,6,5,5,96,"None of the above","Soccer","Diagnostic"
"R_3ivXU44CyvvTTzq","Alex",5,6,7,6,80,2022-03-13 10:27:20,2022-03-13 10:29:07,"IP Address","73.54.16.182",100,106,TRUE,2022-03-13 10:29:07,NA,NA,NA,NA,26.5337066650391,-81.7061996459961,"anonymous","EN","Yes","A03846191RWU57N8DCK72",32,"Male",NA,6,6,5,5,73,5,4,5,5,80,5,4,6,7,78,6,5,6,5,77,5,6,7,6,80,5,6,5,5,96,"None of the above","Soccer","Diagnostic"
"R_3ivXU44CyvvTTzq","Robin",5,6,5,5,96,2022-03-13 10:27:20,2022-03-13 10:29:07,"IP Address","73.54.16.182",100,106,TRUE,2022-03-13 10:29:07,NA,NA,NA,NA,26.5337066650391,-81.7061996459961,"anonymous","EN","Yes","A03846191RWU57N8DCK72",32,"Male",NA,6,6,5,5,73,5,4,5,5,80,5,4,6,7,78,6,5,6,5,77,5,6,7,6,80,5,6,5,5,96,"None of the above","Soccer","Diagnostic"
"R_2lckaVccnMTD4yJ","Sam",7,6,7,7,100,2022-03-13 10:25:53,2022-03-13 10:29:12,"IP Address","208.218.227.162",100,198,TRUE,2022-03-13 10:29:12,NA,NA,NA,NA,40.8023071289063,-73.7329025268555,"anonymous","EN","Yes","A37GAECQDDGGPM",32,"Male",NA,7,6,7,7,100,7,6,7,6,100,7,6,7,6,100,7,6,7,7,100,7,6,7,7,100,7,7,7,6,100,"Happy","Soccer","Diagnostic"
